"Date(UTC)","UnixTimeStamp","Value"
"10/2/2017","1506902400","269"
"10/3/2017","1506988800","403"
"10/4/2017","1507075200","391"
"10/5/2017","1507161600","762"
"10/6/2017","1507248000","186"
"10/7/2017","1507334400","184"
"10/8/2017","1507420800","150"
"10/9/2017","1507507200","228"
"10/10/2017","1507593600","188"
"10/11/2017","1507680000","115"
"10/12/2017","1507766400","169"
"10/13/2017","1507852800","552"
"10/14/2017","1507939200","150"
"10/15/2017","1508025600","133"
"10/16/2017","1508112000","154"
"10/17/2017","1508198400","332"
"10/18/2017","1508284800","770"
"10/19/2017","1508371200","214"
"10/20/2017","1508457600","260"
"10/21/2017","1508544000","347"
"10/22/2017","1508630400","468"
"10/23/2017","1508716800","262"
"10/24/2017","1508803200","471"
"10/25/2017","1508889600","406"
"10/26/2017","1508976000","294"
"10/27/2017","1509062400","296"
"10/28/2017","1509148800","335"
"10/29/2017","1509235200","351"
"10/30/2017","1509321600","465"
"10/31/2017","1509408000","450"
"11/1/2017","1509494400","303"
"11/2/2017","1509580800","657"
"11/3/2017","1509667200","647"
"11/4/2017","1509753600","619"
"11/5/2017","1509840000","475"
"11/6/2017","1509926400","478"
"11/7/2017","1510012800","486"
"11/8/2017","1510099200","974"
"11/9/2017","1510185600","561"
"11/10/2017","1510272000","480"
"11/11/2017","1510358400","392"
"11/12/2017","1510444800","483"
"11/13/2017","1510531200","716"
"11/14/2017","1510617600","641"
"11/15/2017","1510704000","318"
"11/16/2017","1510790400","339"
"11/17/2017","1510876800","234"
"11/18/2017","1510963200","307"
"11/19/2017","1511049600","325"
"11/20/2017","1511136000","405"
"11/21/2017","1511222400","250"
"11/22/2017","1511308800","259"
"11/23/2017","1511395200","322"
"11/24/2017","1511481600","278"
"11/25/2017","1511568000","396"
"11/26/2017","1511654400","245"
"11/27/2017","1511740800","336"
"11/28/2017","1511827200","284"
"11/29/2017","1511913600","353"
"11/30/2017","1512000000","351"
"12/1/2017","1512086400","280"
"12/2/2017","1512172800","200"
"12/3/2017","1512259200","330"
"12/4/2017","1512345600","194"
"12/5/2017","1512432000","135"
"12/6/2017","1512518400","42"
"12/7/2017","1512604800","144"
"12/8/2017","1512691200","117"
"12/9/2017","1512777600","87"
"12/10/2017","1512864000","127"
"12/11/2017","1512950400","61"
"12/12/2017","1513036800","52"
"12/13/2017","1513123200","100"
"12/14/2017","1513209600","76"
"12/15/2017","1513296000","94"
"12/16/2017","1513382400","152"
"12/17/2017","1513468800","88"
"12/18/2017","1513555200","235"
"12/19/2017","1513641600","70"
"12/20/2017","1513728000","44"
"12/21/2017","1513814400","110"
"12/22/2017","1513900800","153"
"12/23/2017","1513987200","141"
"12/24/2017","1514073600","86"
"12/25/2017","1514160000","190"
"12/26/2017","1514246400","70"
"12/27/2017","1514332800","137"
"12/28/2017","1514419200","122"
"12/29/2017","1514505600","105"
"12/30/2017","1514592000","119"
"12/31/2017","1514678400","98"
"1/1/2018","1514764800","119"
"1/2/2018","1514851200","167"
"1/3/2018","1514937600","81"
"1/4/2018","1515024000","98"
"1/5/2018","1515110400","54"
"1/6/2018","1515196800","52"
"1/7/2018","1515283200","59"
"1/8/2018","1515369600","92"
"1/9/2018","1515456000","54"
"1/10/2018","1515542400","54"
"1/11/2018","1515628800","83"
"1/12/2018","1515715200","96"
"1/13/2018","1515801600","76"
"1/14/2018","1515888000","37"
"1/15/2018","1515974400","70"
"1/16/2018","1516060800","40"
"1/17/2018","1516147200","47"
"1/18/2018","1516233600","78"
"1/19/2018","1516320000","50"
"1/20/2018","1516406400","50"
"1/21/2018","1516492800","37"
"1/22/2018","1516579200","70"
"1/23/2018","1516665600","153"
"1/24/2018","1516752000","105"
"1/25/2018","1516838400","118"
"1/26/2018","1516924800","137"
"1/27/2018","1517011200","127"
"1/28/2018","1517097600","62"
"1/29/2018","1517184000","52"
"1/30/2018","1517270400","97"
"1/31/2018","1517356800","85"
"2/1/2018","1517443200","95"
"2/2/2018","1517529600","67"
"2/3/2018","1517616000","74"
"2/4/2018","1517702400","95"
"2/5/2018","1517788800","75"
"2/6/2018","1517875200","138"
"2/7/2018","1517961600","105"
"2/8/2018","1518048000","123"
"2/9/2018","1518134400","168"
"2/10/2018","1518220800","84"
"2/11/2018","1518307200","119"
"2/12/2018","1518393600","129"
"2/13/2018","1518480000","125"
"2/14/2018","1518566400","129"
"2/15/2018","1518652800","116"
"2/16/2018","1518739200","85"
"2/17/2018","1518825600","78"
"2/18/2018","1518912000","67"
"2/19/2018","1518998400","128"
"2/20/2018","1519084800","76"
"2/21/2018","1519171200","85"
"2/22/2018","1519257600","71"
"2/23/2018","1519344000","66"
"2/24/2018","1519430400","66"
"2/25/2018","1519516800","66"
"2/26/2018","1519603200","102"
"2/27/2018","1519689600","96"
"2/28/2018","1519776000","53"
"3/1/2018","1519862400","67"
"3/2/2018","1519948800","56"
"3/3/2018","1520035200","52"
"3/4/2018","1520121600","73"
"3/5/2018","1520208000","104"
"3/6/2018","1520294400","90"
"3/7/2018","1520380800","65"
"3/8/2018","1520467200","110"
"3/9/2018","1520553600","144"
"3/10/2018","1520640000","147"
"3/11/2018","1520726400","106"
"3/12/2018","1520812800","81"
"3/13/2018","1520899200","163"
"3/14/2018","1520985600","141"
"3/15/2018","1521072000","109"
"3/16/2018","1521158400","131"
"3/17/2018","1521244800","126"
"3/18/2018","1521331200","84"
"3/19/2018","1521417600","92"
"3/20/2018","1521504000","96"
"3/21/2018","1521590400","192"
"3/22/2018","1521676800","186"
"3/23/2018","1521763200","168"
"3/24/2018","1521849600","165"
"3/25/2018","1521936000","131"
"3/26/2018","1522022400","120"
"3/27/2018","1522108800","193"
"3/28/2018","1522195200","124"
"3/29/2018","1522281600","88"
"3/30/2018","1522368000","227"
"3/31/2018","1522454400","109"
"4/1/2018","1522540800","196"
"4/2/2018","1522627200","453"
"4/3/2018","1522713600","164"
"4/4/2018","1522800000","292"
"4/5/2018","1522886400","170"
"4/6/2018","1522972800","244"
"4/7/2018","1523059200","1067"
"4/8/2018","1523145600","413"
"4/9/2018","1523232000","146"
"4/10/2018","1523318400","224"
"4/11/2018","1523404800","115"
"4/12/2018","1523491200","65"
"4/13/2018","1523577600","110"
"4/14/2018","1523664000","98"
"4/15/2018","1523750400","156"
"4/16/2018","1523836800","103"
"4/17/2018","1523923200","81"
"4/18/2018","1524009600","47"
"4/19/2018","1524096000","33"
"4/20/2018","1524182400","65"
"4/21/2018","1524268800","64"
"4/22/2018","1524355200","58"
"4/23/2018","1524441600","80"
"4/24/2018","1524528000","58"
"4/25/2018","1524614400","49"
"4/26/2018","1524700800","93"
"4/27/2018","1524787200","86"
"4/28/2018","1524873600","70"
"4/29/2018","1524960000","59"
"4/30/2018","1525046400","96"
"5/1/2018","1525132800","134"
"5/2/2018","1525219200","215"
"5/3/2018","1525305600","66"
"5/4/2018","1525392000","86"
"5/5/2018","1525478400","77"
"5/6/2018","1525564800","77"
"5/7/2018","1525651200","120"
"5/8/2018","1525737600","104"
"5/9/2018","1525824000","110"
"5/10/2018","1525910400","39"
"5/11/2018","1525996800","64"
"5/12/2018","1526083200","37"
"5/13/2018","1526169600","46"
"5/14/2018","1526256000","115"
"5/15/2018","1526342400","230"
"5/16/2018","1526428800","71"
"5/17/2018","1526515200","268"
"5/18/2018","1526601600","24"
"5/19/2018","1526688000","34"
"5/20/2018","1526774400","29"
"5/21/2018","1526860800","30"
"5/22/2018","1526947200","16"
"5/23/2018","1527033600","41"
"5/24/2018","1527120000","24"
"5/25/2018","1527206400","27"
"5/26/2018","1527292800","123"
"5/27/2018","1527379200","68"
"5/28/2018","1527465600","93"
"5/29/2018","1527552000","121"
"5/30/2018","1527638400","35"
"5/31/2018","1527724800","546"
"6/1/2018","1527811200","796"
"6/2/2018","1527897600","36"
"6/3/2018","1527984000","794"
"6/4/2018","1528070400","942"
"6/5/2018","1528156800","105"
"6/6/2018","1528243200","27"
"6/7/2018","1528329600","13"
"6/8/2018","1528416000","133"
"6/9/2018","1528502400","356"
"6/10/2018","1528588800","13"
"6/11/2018","1528675200","42"
"6/12/2018","1528761600","46"
"6/13/2018","1528848000","17"
"6/14/2018","1528934400","25"
"6/15/2018","1529020800","24"
"6/16/2018","1529107200","47"
"6/17/2018","1529193600","56"
"6/18/2018","1529280000","25"
"6/19/2018","1529366400","48"
"6/20/2018","1529452800","15"
"6/21/2018","1529539200","10"
"6/22/2018","1529625600","18"
"6/23/2018","1529712000","19"
"6/24/2018","1529798400","59"
"6/25/2018","1529884800","56"
"6/26/2018","1529971200","40"
"6/27/2018","1530057600","94"
"6/28/2018","1530144000","35"
"6/29/2018","1530230400","62"
"6/30/2018","1530316800","30"
"7/1/2018","1530403200","82"
"7/2/2018","1530489600","12"
"7/3/2018","1530576000","19"
"7/4/2018","1530662400","16"
"7/5/2018","1530748800","13"
"7/6/2018","1530835200","12"
"7/7/2018","1530921600","9"
"7/8/2018","1531008000","14"
"7/9/2018","1531094400","26"
"7/10/2018","1531180800","26"
"7/11/2018","1531267200","12"
"7/12/2018","1531353600","10"
"7/13/2018","1531440000","9"
"7/14/2018","1531526400","14"
"7/15/2018","1531612800","27"
"7/16/2018","1531699200","30"
"7/17/2018","1531785600","17"
"7/18/2018","1531872000","20"
"7/19/2018","1531958400","12"
"7/20/2018","1532044800","14"
